17/09/17 15:30	OHDSI/Cyclops	single_precision
17/09/17 15:17	imanuelcostigan/RSQLServer	master
17/09/17 14:54	IlyaKipnis/DSTrading	master
17/09/17 14:53	imanuelcostigan/RSQLServer	master
17/09/17 14:53	IlyaKipnis/DSTrading	master
17/09/17 14:51	kthohr/BMR	master
17/09/17 14:51	hoxo-m/prophetExt	master
17/09/17 14:50	hoxo-m/prophetExt	master
17/09/17 14:48	Chen-Chaozong/extraTechInds	master
17/09/17 14:48	IlyaKipnis/DSTrading	master
17/09/17 14:47	IlyaKipnis/DSTrading	master
17/09/17 14:46	IlyaKipnis/DSTrading	master
17/09/17 14:44	braverock/quantstrat	master
17/09/17 14:44	kthohr/BMR	master
17/09/17 14:43	braverock/blotter	master
17/09/17 13:25	rstudio/revealjs	master
17/09/17 11:47	hoxo-m/prophetExt	master
17/09/17 11:24	hoxo-m/prophetExt	master
17/09/17 09:22	hadley/svglite	master
